"id","customer_id","installation_date","status","pic_id","created_by","updated_by","created_at","updated_at","uninstallation_date","lead_person_id","installed_by","unistalled_by","remarks","idu_sn","ac_asset_id","custom_asset_name","odu_sn","last_deduction_date","contract_start_date","contract_end_date","total_debt","balance","service","payment_term","monthly_fee","device_activated","security_deposit_status","uninstallation_start_date","uninstallation_end_date","uninstallation_status"
1503,491,"2022-12-07 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-12-07 09:51:41.340507","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000340",7,NULL,"0000278",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
659,69,"2021-08-12 11:25:57.836881","ACTIVE",NULL,NULL,NULL,NULL,"2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000109",5,NULL,"0000136","2021-12-03 06:49:35.726405",NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1202,367,"2022-04-20 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-04-20 07:46:56.945247","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000208",7,NULL,"0000152",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1203,365,"2022-04-20 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-04-20 07:48:30.301295","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000237",6,NULL,"0000261",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
2702,1140,"2023-10-23 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-10-23 13:07:01.212","2023-10-31 07:40:27.637947",NULL,NULL,NULL,NULL,NULL,"0000294",6,NULL,"0000604",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1209,326,"2022-04-25 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-04-25 10:19:47.922737","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000128",7,NULL,"0000191",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1210,326,"2022-04-25 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-04-25 10:20:19.374475","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000216",5,NULL,"0000247",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
2647,1118,"2023-09-30 00:00:00","UNINSTALLED",NULL,NULL,NULL,"2023-09-30 09:54:09.218","2023-11-27 18:09:31.676176","2023-11-27",NULL,NULL,71,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1204,368,"2022-04-21 00:00:00","UNINSTALLED",NULL,NULL,NULL,"2022-04-21 05:51:44.243529","2023-09-22 08:53:29.341765","2023-09-22",NULL,NULL,71,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
658,69,"2021-08-12 11:25:57.836881","ACTIVE",NULL,NULL,NULL,NULL,"2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000139",5,NULL,"0000133","2021-12-03 06:49:35.726405",NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
660,69,"2021-08-12 11:25:57.836881","ACTIVE",NULL,NULL,NULL,NULL,"2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000102",7,NULL,"0000107","2021-12-03 06:49:35.726405",NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1224,380,"2022-05-11 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-05-11 05:21:45.554673","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000280",5,NULL,"0000167",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1232,119,"2022-05-13 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-05-13 09:48:42.876165","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000252",7,NULL,"0000243",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1239,391,"2022-05-18 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-05-17 13:31:19.130924","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000172",6,NULL,"0000001",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
2662,1119,"2023-10-06 00:00:00","UNINSTALLED",NULL,NULL,NULL,"2023-10-06 11:56:43.493","2024-01-15 09:16:36.922291","2024-01-15",NULL,NULL,71,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1965,821,"2023-03-24 00:00:00","UNINSTALLED",NULL,NULL,NULL,"2023-03-26 20:54:48.333045","2024-02-16 06:53:22.916547","2024-02-16",NULL,NULL,71,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
922,161,"2021-11-19 00:00:00","ACTIVE",NULL,NULL,NULL,"2021-11-18 16:17:19.677752","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000320",5,NULL,"0000176","2021-12-03 06:48:36.58888",NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
2440,1030,"2023-08-01 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-08-01 11:08:16.535","2023-08-03 07:33:49.164693",NULL,NULL,NULL,NULL,NULL,"0000436",6,NULL,"0000429",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
